"","log2FoldChange","padj"
"MUCL1",8.22486053632487,0.00312438998979942
"TRH",7.98319628584701,0.000238785289694575
"PLSCR5",7.77585311206773,0.00431148145360123
"SHISA6",7.25113781055802,0.00112487970781391
"REG3A",7.25091265535854,0.00129562849945607
"MEP1A",7.06494191991637,5.5337370380868e-06
"TERT",7.04551314031377,0.0380392638809498
"HS3ST4",6.93430915128943,0.000458957264207671
"CST1",6.90741680370165,0.0305634833485372
"SP8",6.88598481306334,0.00156681769954169
"MATN3",6.87155869227181,9.5516553474889e-06
"REG1A",6.42452423705391,7.4821518484725e-05
"OTOG",6.37918988216471,0.00987936205806377
"ANKFN1",6.23750075637463,0.0380392638809498
"UPK3A",6.06533514792843,3.03220054512065e-05
"STRA6",5.91614706776318,0.000986062595635893
"MYH7B",5.75322856545998,1.56219460266746e-05
"KCNJ9",5.69007371989178,0.0380392638809498
"IRX5",5.68379515434517,0.00156681769954169
"AFP",5.62904528802387,0.000110611786810924
"DKK4",5.51441338297492,0.00941183499241564
"ERVMER34-1",5.44949797341636,3.03220054512065e-05
"TBX4",5.34287959004345,0.00245936295828431
"REG3G",5.31227171365209,0.0305634833485372
"DUSP9",5.28626571219147,0.000717636613617362
"ASCL5",5.19074356136492,0.0112272364388448
"HMGA2",5.17055881468328,5.5337370380868e-06
"NKAIN4",5.14165250680373,0.00431148145360123
"TMEM52B",5.11892298724763,3.03220054512065e-05
"DAPL1",5.08670984012104,0.0077003078000072
"HS3ST5",5.08183981892701,0.00217759337806761
"DKK1",4.951577748676,0.00347683760580439
"MYCN",4.8077233197186,0.00396441087410461
"ALOX12B",4.77819739044485,0.0167455457140954
"LINC01777",4.77782506735254,0.0383491152307371
"HIST1H2BH",4.64072688442241,0.00347683760580439
"CCNO",4.63796450552065,0.0214540557860256
"PAGE4",4.61630265992628,0.0383491152307371
"ADRA2C",4.61027735523238,7.60149383178743e-06
"FLJ16779",4.59103694284041,0.00485956272292773
"RFX6",4.51175308644363,0.039639469479739
"IGSF1",4.48899752250015,0.00524455103051471
"DQX1",4.47927368552675,0.00937628797556156
"TRIM71",4.45408564589564,0.0358438788254121
"PART1",4.44093686449982,0.00347683760580439
"CHGB",4.39806920371802,0.00316602531947215
"FGF20",4.35800747093643,0.039639469479739
"LIX1",4.29227666718631,0.0077003078000072
"LEF1",4.20131961074894,9.5516553474889e-06
"AQP6",4.14877411894031,0.00347683760580439
"SLC6A2",4.12825634182771,0.0435109324439417
"BPIFB2",4.12438817999155,0.0277068630775217
"CCL25",4.12336743771195,0.0413167613984654
"PTGDR2",4.10756265638088,0.00129562849945607
"CDCA7",4.08872924507265,0.00609499510355202
"CTNNA2",4.08172341709413,0.00154779122326844
"CASKIN1",4.01879086054297,0.0196429043487429
"PRTG",3.96521367512313,0.00347683760580439
"SULT4A1",3.956995081134,0.0444789509394526
"PNMT",3.94629769405951,0.00833322653793309
"ST18",3.93210945653568,0.0322242958206222
"PEG13",3.92376501492068,0.00431148145360123
"CPA1",3.86413524826043,0.0380392638809498
"PRR36",3.85453015371854,0.0451424731686453
"SLC6A7",3.83511477597536,0.0383491152307371
"HIST3H2A",3.81835383814212,0.0103432627646755
"IRX3",3.78343332946704,0.0105551306888362
"KCNJ10",3.76585063770586,0.0489742832210674
"CA4",3.70110885458212,0.0226845312133775
"ABHD12B",3.67839627578193,0.0196429043487429
"GRM3",3.62493091727031,0.0383790260130965
"RNF157",3.61725049939886,0.00129562849945607
"FERMT1",3.54395316214961,0.0305634833485372
"CACNG4",3.49594654303536,0.0167455457140954
"LINGO1",3.46968939279366,0.00524455103051471
"SERPINI1",3.46707566207571,0.00937628797556156
"CENPF",3.42073767855581,0.0380392638809498
"RHBG",3.37016606506699,0.0305634833485372
"TSPAN5",3.34232649703438,0.0322242958206222
"CCDC170",3.2844864554347,0.0227820832837378
"LYPD1",3.21423175898888,0.0378556659476232
"MDK",3.20364743536901,0.0119122591921923
"MEG8",3.18484542974455,0.0413167613984654
"CTSV",2.9237619279389,0.0308662376981538
"SIX4",2.82886908646314,0.0424379318897321
"TBX2-AS1",2.74896843590101,0.00308555900029742
