"","tissue"
"GSM2177840","Normal"
"GSM2177841","Normal"
"GSM2177842","Normal"
"GSM2177849","Hepatoblastoma"
"GSM2177850","Hepatoblastoma"
"GSM2177851","Hepatoblastoma"
"GSM2177852","Hepatoblastoma"
"GSM2177853","Hepatoblastoma"
"GSM2177854","Hepatoblastoma"
"GSM2177855","Hepatoblastoma"
"GSM2177856","Hepatoblastoma"
"GSM2177857","Hepatoblastoma"
"GSM2177858","Hepatoblastoma"
"GSM2177859","Hepatoblastoma"
"GSM2177860","Hepatoblastoma"
"GSM2177861","Hepatoblastoma"
"GSM2177862","Hepatoblastoma"
"GSM2177863","Hepatoblastoma"
"GSM2177864","Hepatoblastoma"
"GSM2177865","Hepatoblastoma"
"GSM2177866","Hepatoblastoma"
"GSM2177867","Hepatoblastoma"
"GSM2177868","Hepatoblastoma"
"GSM2177869","Hepatoblastoma"
"GSM2177870","Hepatoblastoma"
"GSM2177871","Hepatoblastoma"
