type,value
control,6.281393267
control,6.962994745
control,6.498977154
case,8.777679094
case,12.25863218
case,11.0948959
case,9.87841723
case,10.34515312
case,8.71074435
case,9.130537091
case,10.62083126
case,10.80481283
case,11.04000246
control,625.0
case,5702.0
control,441.0
case,849.0
control,2231.0
case,8550.0
control,539.0
case,5544.0
control,347.0
case,5550.0
control,866.0
case,7759.0
control,431.0
case,5691.0
control,562.0
case,3897.0
control,124.0
control,177.0
control,142.0
case,6812.0
case,5299.0
case,2756.0
control,740.0
case,6323.0
control,161.0
case,4562.0
control,452.0
case,4898.0
control,673.0
case,2588.0
control,99.0
case,4289.0
control,236.0
case,6774.0
control,197.0
case,10656.0
control,767.0
case,2786.0
control,102.0
case,5144.0
control,48.0
case,1411.0
control,885.0
control,4868.0
case,485.0
case,5276.0
control,6234.0
case,2550.0
control,755.0
case,6377.0
control,896.0
control,474.0
control,193.0
case,4806.0
case,2913.0
case,4246.0
control,298.0
case,4735.0
control,94.0
case,4812.0
case,6588.0
case,4994.0
control,103.0
control,380.0
control,785.0
control,169.0
control,84.0
control,478.0
control,96.0
control,941.0
control,111.0
control,657.0
control,479.0
case,3881.0
case,2201.0
case,1737.0
case,1501.0
case,2910.0
case,4416.0
case,2401.0
case,4449.0
case,3690.0
case,3374.0
case,4458.0
